id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
26473;VDBG;medium_airport;Battambang Airport;130956;103223999;59;AS;KH;KH-2;Battambang;yes;VDBG;BBM;;;https://en.wikipedia.org/wiki/Battambang_Airport;
26474;VDKH;medium_airport;Kampong Chhnang Airport;12255032;104564657;56;AS;KH;KH-4;Kampong Chhnang;no;VDKH;KZC;;;https://en.wikipedia.org/wiki/Kampong_Chhnang_Airport;
26475;VDPP;large_airport;Phnom Penh International Airport;115466;104844002;40;AS;KH;KH-12;Phnom Penh (Pou Senchey);yes;VDPP;PNH;;http://www.cambodia-airports.com/phnompenh/en/;https://en.wikipedia.org/wiki/Phnom_Penh_International_Airport;Pochentong International Airport
35306;VDRK;medium_airport;Ratanakiri Airport;1,373E+16;1,06987E+16;;AS;KH;KH-16;Ratanakiri;no;VDRK;RBE;;;https://en.wikipedia.org/wiki/Ratanankiri_Airport;
26476;VDSR;large_airport;Siem Reap International Airport;1341155;103813044;60;AS;KH;KH-17;Siem Reap;yes;VDSR;REP;;http://www.cambodia-airports.com/siemreap/en;https://en.wikipedia.org/wiki/Siem_Reap_International_Airport;Angkor International Airport
3312;VE44;medium_airport;Hashimara Air Force Station;2,66983E+16;8,93691E+15;340;AS;IN;IN-WB;Jalpaiguri;no;VE44;;VE44;;;
26488;VEAN;medium_airport;Along Airport;2,81753E+15;9,4802E+13;900;AS;IN;IN-AR;;no;VEAN;IXV;;;https://en.wikipedia.org/wiki/Along_Airport;
26489;VEAT;medium_airport;Agartala - Maharaja Bir Bikram Airport;23886999;91240402;46;AS;IN;IN-TR;Agartala;yes;VEAT;IXA;;;https://en.wikipedia.org/wiki/Agartala_Airport;Singerbhil Airport, Agartala Air Force Station
26491;VEBD;medium_airport;Bagdogra Airport;2,66812E+15;8,83286E+15;412;AS;IN;IN-WB;Siliguri;yes;VEBD;IXB;;http://aai.aero/allAirports/bagdogra_generalinfo.jsp;https://en.wikipedia.org/wiki/Bagdogra_Airport;Bagdogra Air Force Station
26492;VEBI;medium_airport;Shillong Airport;2,57036E+15;9,19787E+15;2910;AS;IN;IN-ML;Shillong;yes;VEBI;SHL;;;https://en.wikipedia.org/wiki/Shillong_Airport;Barapani Airport, Barapani Air Force Station, Umroi Airport
26494;VEBS;medium_airport;Biju Patnaik Airport;2,02444E+16;8,58178E+11;138;AS;IN;IN-OR;Bhubaneswar;yes;VEBS;BBI;;http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp;https://en.wikipedia.org/wiki/Biju_Patnaik_Airport;
26496;VECC;large_airport;Netaji Subhash Chandra Bose International Airport;2,26547E+16;8,84467E+15;16;AS;IN;IN-WB;Kolkata;yes;VECC;CCU;;;https://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport;Calcutta, Kolkatta, Dum Dum Air Force Station
26498;VEDB;medium_airport;Dhanbad Airport;2,3834E+16;8,64253E+15;847;AS;IN;IN-BR;;no;VEDB;DBD;;;;
317982;VEDG;medium_airport;Kazi Nazrul Islam Airport;236225;87243;300;AS;IN;IN-WB;Durgapur;yes;VEDG;RDP;;;https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam_Airport;Andal Airport, Durgapur Airport
26500;VEGK;medium_airport;Gorakhpur Airport;2,67397E+16;8,34497E+11;259;AS;IN;IN-UP;Gorakhpur;yes;VEGK;GOP;;http://www.aai.aero/allAirports/gorakhpur.jsp;https://en.wikipedia.org/wiki/Gorakhpur_Airport;Gorakhpur Air Force Station
26501;VEGT;medium_airport;Lokpriya Gopinath Bordoloi International Airport;2,61061E+15;9,15859E+15;162;AS;IN;IN-AS;Guwahati;yes;VEGT;GAU;;http://aai.aero/guwahati/index.jsp;https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport;Borjhar Airport, Mountain Shadow Air Force Station
26502;VEGY;medium_airport;Gaya Airport;2,47443E+16;8,49512E+15;380;AS;IN;IN-BR;;yes;VEGY;GAY;;;https://en.wikipedia.org/wiki/Gaya_Airport;
26504;VEIM;medium_airport;Imphal Airport;2,476E+11;93896697998;2540;AS;IN;IN-MN;Imphal;yes;VEIM;IMF;;http://www.aai.aero/allAirports/imphal_gen.jsp;https://en.wikipedia.org/wiki/Imphal_Airport;
26506;VEJS;medium_airport;Sonari Airport;22813786;86169739;475;AS;IN;IN-JH;Jamshedpur;no;VEJS;IXW;;;https://en.wikipedia.org/wiki/Sonari_Airport;
